attendance_id,student_id,date,status
1,1001,2024-01-08,Present
2,1001,2024-01-09,Absent
3,1001,2024-01-10,Present
4,1002,2024-01-08,Present
5,1002,2024-01-09,Present
6,1002,2024-01-10,Present
7,1003,2024-01-08,Absent
8,1003,2024-01-09,Present
9,1003,2024-01-10,Absent
10,1004,2024-01-08,Present
11,1004,2024-01-09,Present
12,1004,2024-01-10,Present
13,1005,2024-01-08,Absent
14,1005,2024-01-09,Absent
15,1005,2024-01-10,Present
16,1006,2024-01-08,Present
17,1006,2024-01-09,Present
18,1006,2024-01-10,Present
19,1007,2024-01-08,Absent
20,1007,2024-01-09,Present
21,1007,2024-01-10,Absent
22,1008,2024-01-08,Present
23,1008,2024-01-09,Present
24,1008,2024-01-10,Present
25,1009,2024-01-08,Absent
26,1009,2024-01-09,Absent
27,1009,2024-01-10,Present
28,1010,2024-01-08,Present
29,1010,2024-01-09,Present
30,1010,2024-01-10,Present
31,1011,2024-01-08,Absent
32,1011,2024-01-09,Present
33,1011,2024-01-10,Absent
34,1012,2024-01-08,Present
35,1012,2024-01-09,Present
36,1012,2024-01-10,Present
37,1013,2024-01-08,Absent
38,1013,2024-01-09,Absent
39,1013,2024-01-10,Present
40,1014,2024-01-08,Present
41,1014,2024-01-09,Present
42,1014,2024-01-10,Present
43,1015,2024-01-08,Absent
44,1015,2024-01-09,Present
45,1015,2024-01-10,Absent
46,1016,2024-01-08,Present
47,1016,2024-01-09,Present
48,1016,2024-01-10,Present
49,1017,2024-01-08,Absent
50,1017,2024-01-09,Absent
51,1017,2024-01-10,Present
52,1018,2024-01-08,Present
53,1018,2024-01-09,Present
54,1018,2024-01-10,Present
55,1019,2024-01-08,Absent
56,1019,2024-01-09,Present
57,1019,2024-01-10,Absent
58,1020,2024-01-08,Present
59,1020,2024-01-09,Present
60,1020,2024-01-10,Present
61,1021,2024-01-08,Absent
62,1021,2024-01-09,Absent
63,1021,2024-01-10,Present
64,1022,2024-01-08,Present
65,1022,2024-01-09,Present
66,1022,2024-01-10,Present
67,1023,2024-01-08,Absent
68,1023,2024-01-09,Present
69,1023,2024-01-10,Absent
70,1024,2024-01-08,Present
71,1024,2024-01-09,Present
72,1024,2024-01-10,Present
73,1025,2024-01-08,Absent
74,1025,2024-01-09,Absent
75,1025,2024-01-10,Present
76,1026,2024-01-08,Present
77,1026,2024-01-09,Present
78,1026,2024-01-10,Present
79,1027,2024-01-08,Absent
80,1027,2024-01-09,Present
81,1027,2024-01-10,Absent
82,1028,2024-01-08,Present
83,1028,2024-01-09,Present
84,1028,2024-01-10,Present
85,1029,2024-01-08,Absent
86,1029,2024-01-09,Absent
87,1029,2024-01-10,Present
88,1030,2024-01-08,Present
89,1030,2024-01-09,Present
90,1030,2024-01-10,Present
